STATION,NAME,DATE,TMAX
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-06-21,79
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-06-22,73
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-06-23,77
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-06-24,77
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-06-25,90
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-06-26,96
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-06-27,99
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-06-28,94
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-06-29,86
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-06-30,76
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-07-01,70
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-07-02,66
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-07-03,65
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-07-04,66
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-07-05,77
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-07-06,76
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-07-07,83
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-07-08,71
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-07-09,73
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-07-10,76
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-07-11,74
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-07-12,82
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-07-13,77
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-07-14,75
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-07-15,87
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-07-16,94
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-07-17,86
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-07-18,74
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-07-19,82
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-07-20,86
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-07-21,88
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-07-22,71
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-07-23,80
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-07-24,87
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-07-25,77
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-07-26,79
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-07-27,87
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-07-28,83
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-07-29,91
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-07-30,94
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-07-31,89
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-08-01,81
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-08-02,85
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-08-03,86
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-08-04,90
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-08-05,89
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-08-06,87
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-08-07,82
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-08-08,90
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-08-09,84
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-08-10,72
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-08-11,75
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-08-12,79
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-08-13,76
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-08-14,76
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-08-15,76
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-08-16,81
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-08-17,78
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-08-18,67
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-08-19,69
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-08-20,77
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-08-21,84
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-08-22,92
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-08-23,90
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-08-24,74
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-08-25,79
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-08-26,75
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-08-27,72
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-08-28,83
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-08-29,81
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-08-30,79
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-08-31,68
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-09-01,71
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-09-02,67
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-09-03,67
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-09-04,72
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-09-05,70
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-09-06,73
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-09-07,73
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-09-08,68
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-09-09,71
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-09-10,64
